Day,,BODY METRICS,,,,,,,,,WORK METRICS,,,,,,,FINANCE,,,,
NIGHTMARE,Date,Wake,Sleep,Weight,BF%,HRV,Recovery,Strain,CalsBurn,Training,Cold Shower,DW1 mins,DW2 mins,No Dopamine,Midnight Win,Network,Content,NetWorth,Spend,,Waist,Neck
16,"Mon, Jun 30",,,,,,,,,,,,,,,,,,,,,
17,"Tue, Jul 1",,,,,,,,,,,,,,,,,,,,,
18,"Wed, Jul 2",,,,,,,,,,,,,,,,,,,,,
19,"Thu, Jul 3",,,,,,,,,,,,,,,,,,,,,
20,"Fri, Jul 4",,,,,,,,,,,,,,,,,,,,,
21,"Sat, Jul 5",,,,,,,,,,,,,,,,,,,,,
BREAK,AVG OR SUM,,,,,,,,,,,,,,,,,,,,,
1,"Sun, Jul 6",,,,,,,,,,,,,,,,,,,,,
2,"Mon, Jul 7",,,,,,,,,,,,,,,,,,,,,
3,"Tue, Jul 8",,,,,,,,,,,,,,,,,,,,,
4,"Wed, Jul 9",,,,,,,,,,,,,,,,,,,,,
5,"Thu, Jul 10",,,,,,,,,,,,,,,,,,,,,
6,"Fri, Jul 11",,,,,,,,,,,,,,,,,,,,,
7,"Sat, Jul 12",,,,,,,,,,,,,,,,,,,,,
BREAK,AVG OR SUM,,,,,,,,,,,,,,,,,,,,,
